,arquivo,convertida,normalizada,classe,objecto,repeticao,fundo,iluminacao,local,resolucao,tamanho
0,20210417_153013.jpg,20210417_153013_gray.jpg,,óculos,óculos gucci,1.0,branco_2,dia,interno,2560x1440,1144814.0
1,20210417_153013.jpg,20210417_153013_grad.jpg,,óculos,óculos gucci,1.0,branco_2,dia,interno,2560x1440,1144814.0
2,20210417_153013.jpg,20210417_153013_excgrad.jpg,,óculos,óculos gucci,1.0,branco_2,dia,interno,2560x1440,1144814.0
3,20210417_153013.jpg,20210417_153013_log.jpg,,óculos,óculos gucci,1.0,branco_2,dia,interno,2560x1440,1144814.0
4,20210417_153013.jpg,20210417_153013_exp.jpg,,óculos,óculos gucci,1.0,branco_2,dia,interno,2560x1440,1144814.0
5,20210417_153013.jpg,20210417_153013_mean.jpg,,óculos,óculos gucci,1.0,branco_2,dia,interno,2560x1440,1144814.0
6,20210417_153014(0).jpg,20210417_153014(0)_gray.jpg,,óculos,óculos gucci,2.0,branco_2,dia,interno,2560x1440,1128321.0
7,20210417_153014(0).jpg,20210417_153014(0)_grad.jpg,,óculos,óculos gucci,2.0,branco_2,dia,interno,2560x1440,1128321.0
8,20210417_153014(0).jpg,20210417_153014(0)_excgrad.jpg,,óculos,óculos gucci,2.0,branco_2,dia,interno,2560x1440,1128321.0
9,20210417_153014(0).jpg,20210417_153014(0)_log.jpg,,óculos,óculos gucci,2.0,branco_2,dia,interno,2560x1440,1128321.0
10,20210417_153014(0).jpg,20210417_153014(0)_exp.jpg,,óculos,óculos gucci,2.0,branco_2,dia,interno,2560x1440,1128321.0
11,20210417_153014(0).jpg,20210417_153014(0)_mean.jpg,,óculos,óculos gucci,2.0,branco_2,dia,interno,2560x1440,1128321.0
12,20210417_153014.jpg,20210417_153014_gray.jpg,,óculos,óculos gucci,3.0,branco_2,dia,interno,2560x1440,1118719.0
13,20210417_153014.jpg,20210417_153014_grad.jpg,,óculos,óculos gucci,3.0,branco_2,dia,interno,2560x1440,1118719.0
