image,id,label,annotator,annotation_id
20210506_195343_gray2.jpg,61,"[{""points"": [[85.19515477792734, 46.04316546762591], [86.26726385501463, 47.81970419946422], [86.78187621201657, 50.341243044654085], [86.82476057510006, 53.26393579703325], [86.35303258118162, 54.5247052196282], [81.54998391583038, 55.95739774530426], [75.97501671497622, 57.275474868926246], [69.71389970478617, 58.02047498227779], [64.224701230099, 57.96316728125075], [60.32222418950111, 57.56201337406146], [58.91534165149872, 57.31327980776622], [56.10731747525797, 56.69865444656569], [54.630684072234814, 56.53691093046029], [53.7108140834663, 56.763351853007876], [52.911979619535735, 57.15153629166083], [52.0405238407024, 57.636766839977064], [50.70913306748479, 58.80132015593599], [50.00712702342462, 59.73943254934737], [49.35353518929961, 60.580498833095476], [49.112266333784184, 60.65991810609408], [48.74892055687278, 60.38732851907383], [48.49394106430338, 60.02955468610977], [47.363353310284005, 59.916840441466235], [46.58363761785684, 59.08327388107289], [45.53102143308018, 58.301805230704126], [44.322462109818076, 57.62453240038454], [42.334187094128836, 56.843063750015766], [41.20359934010945, 56.843063750015766], [38.0457507857795, 56.634672109917425], [31.224764468371475, 56.918436579174426], [26.704100757052394, 56.75062816902703], [22.748520009648193, 56.582819758879644], [18.039495310357484, 56.33110714365856], [13.324360699865412, 55.93525179856114], [9.286675639300137, 54.13669064748201], [4.845222072678332, 51.618705035971225], [13.189771197846568, 50.53956834532373], [32.5706594885599, 50.179856115107924], [47.10632570659489, 49.460431654676256], [47.26609259938101, 48.25059015420782], [76.58142664872138, 46.58273381294964]], ""polygonlabels"": [""objeto""], ""original_width"": 1152, ""original_height"": 862}]",phgcarv@gmail.com,69
20210509_103507_gray2.jpg,18,"[{""points"": [[47.6277476971348, 56.7483783738736], [47.45342398608574, 53.99861805048874], [41.85910264332838, 54.295249177822036], [41.571504864112846, 53.76987286724248], [41.531493120364765, 53.20844909233114], [41.89159881409754, 52.86090104119556], [47.45323119508165, 52.43314959364407], [47.31319009196334, 46.15055020773153], [41.751557710979235, 46.28422253509136], [41.33143440162433, 45.99014341489971], [41.2714167860022, 45.50892303640429], [41.51148724849072, 44.97423372696491], [41.81552285158816, 44.64562129862627], [47.277125873202046, 44.59215236768234], [47.33714348882419, 41.94544028595748], [62.78727806561512, 41.31490793676766], [62.96077899045655, 42.311368302426374], [63.13683066294814, 43.869987639442115], [63.19638527774491, 53.93316840578748], [63.02974658350603, 54.97122960290496], [62.81415689665262, 56.20594032231989]], ""polygonlabels"": [""objeto""], ""original_width"": 1152, ""original_height"": 862}]",phgcarv@gmail.com,26
20210502_213052_gray2.jpg,90,"[{""points"": [[25.85899362592285, 72.61249581459685], [25.601687447421888, 69.80441846427178], [25.706594885598925, 30.93525179856115], [76.5814266487214, 30.035971223021583], [77.79273216689099, 70.86330935251799]], ""polygonlabels"": [""objeto""], ""original_width"": 1152, ""original_height"": 862}]",phgcarv@gmail.com,98
20210502_213045_gray2.jpg,89,"[{""points"": [[25.841184387617766, 75.89928057553956], [27.456258411843876, 26.258992805755394], [75.37012113055182, 26.07913669064748], [76.78016097570243, 70.98073514521052], [78.85979336346828, 71.56786410867316], [80.70510097514786, 71.29387059239059], [82.50336473755046, 66.3718796147764], [83.63395249156981, 62.412438452908], [84.72555446096784, 56.21278715998249], [85.42729858415227, 51.940758537966595], [87.33760203059882, 52.87852091840911], [86.59687212279302, 56.8379620802775], [85.2323696610455, 62.98551546317842], [83.9458387685407, 67.25754408519433], [83.47800935308439, 68.50789392578433], [83.0101799376281, 69.65404794632519], [82.42539316830774, 70.43551659669396], [81.76263482974466, 71.2690831570873], [81.02190492193887, 71.8942580773823], [80.24218922951171, 72.2589434475544], [79.46247353708455, 72.83202045782483], [78.21492842920111, 73.30090164804608], [77.08434067518174, 73.50929328814442], [76.96738332131766, 75.4890138690786]], ""polygonlabels"": [""objeto""], ""original_width"": 1152, ""original_height"": 862}]",phgcarv@gmail.com,97
20210502_213036_gray2.jpg,88,"[{""points"": [[14.266487213997308, 85.97122302158273], [13.728129205921938, 81.83453237410072], [16.01615074024226, 22.12230215827338], [88.2907133243607, 21.762589928057555], [90.98250336473755, 81.11510791366906], [90.71332436069987, 85.07194244604317]], ""polygonlabels"": [""objeto""], ""original_width"": 1152, ""original_height"": 862}]",phgcarv@gmail.com,96
20210502_213025_gray2.jpg,87,"[{""points"": [[27.590847913862717, 73.38129496402878], [27.321668909825032, 26.618705035971225], [76.17765814266487, 23.92086330935252], [79.00403768506057, 70.50359712230215]], ""polygonlabels"": [""objeto""], ""original_width"": 1152, ""original_height"": 862}]",phgcarv@gmail.com,94
20210502_213016_gray2.jpg,86,"[{""points"": [[23.553162853297444, 75], [25.168236877523555, 29.496402877697843], [75.50471063257066, 30.215827338129497], [76.71601615074024, 76.07913669064749]], ""polygonlabels"": [""objeto""], ""original_width"": 1152, ""original_height"": 862}]",phgcarv@gmail.com,95
20210502_212826_gray2.jpg,85,"[{""points"": [[43.14901423932495, 56.77357778198661], [38.39561908205221, 56.89120943006327], [38.054888257279025, 56.6658777523733], [37.90190056173738, 56.42736186373059], [37.89552607442315, 56.04403275698337], [37.88915158710891, 55.76292474536876], [38.02939030802209, 55.601074678075484], [38.214250440134904, 55.34552194024401], [43.10078751878521, 55.37700138877692], [43.11775505945285, 49.636879126791264], [38.43627571109463, 49.754510774867924], [38.148143263091725, 49.616555030322765], [37.99388067008724, 49.40010186137951], [37.97845441078679, 49.05996116732582], [38.02473318868814, 48.69920588575371], [38.186708911342855, 48.50336730432886], [38.36411089329802, 48.35906519170001], [43.12820945892906, 48.26485369286709], [43.32696261785677, 46.13914952812097], [48.407001384364314, 46.19882607851584], [48.46408047162844, 44.139359226707015], [58.79539526643594, 44.06308267664003], [59.0315257473383, 46.01716619859967], [59.274086943916494, 57.38573020377625], [59.19275307282636, 59.73424605762681], [58.92647491818284, 61.01525470518164], [48.46174344069252, 61.05083827872483], [48.391403723846274, 59.04663858495416], [43.354779764926555, 59.12291513502114], [43.12529822161408, 58.30514637396043]], ""polygonlabels"": [""objeto""], ""original_width"": 1152, ""original_height"": 862}]",phgcarv@gmail.com,93
20210502_212818_gray2.jpg,84,"[{""points"": [[42.590484324832, 58.85661775141325], [37.689045715691336, 58.93682114782916], [37.42896938132877, 58.696210958581446], [37.388957637580674, 58.26845951102996], [37.42896938132877, 57.86744252895042], [37.70905158756537, 57.57336340875877], [42.57047845295796, 57.306018754039094], [42.63049606858009, 51.79871886681363], [37.849092690683676, 51.79871886681363], [37.629028100069206, 51.531374212093944], [37.52899874069898, 51.18382616095836], [37.629028100069206, 50.8095436443508], [37.88910443443177, 50.48873005868719], [42.75053129982435, 50.274854334911446], [42.91057827481669, 48.18956602809792], [48.639425659665505, 47.91758565770798], [48.969522545587225, 47.71173027357383], [57.51202717235388, 47.909164034140524], [57.95215635358284, 47.52686117789138], [58.87642763416366, 47.52686117789138], [59.10986651105028, 61.13118657686559], [58.72591154493988, 61.58391384065106], [58.149979095774306, 61.61409565823676], [57.75473133654304, 61.38773202634403], [48.904958227494824, 61.268445297502], [42.81553207488112, 61.20886407488042], [42.63671401653222, 60.185176714499015]], ""polygonlabels"": [""objeto""], ""original_width"": 1152, ""original_height"": 862}]",phgcarv@gmail.com,92
20210502_212811_gray2.jpg,83,"[{""points"": [[45.29179695914836, 58.500622408512996], [40.4952891051619, 58.538037884858895], [40.2992984807497, 58.4008478049239], [40.14997229072135, 58.176354946848456], [40.13130651696781, 57.652538278005764], [40.215302498858755, 57.44051724537897], [40.41129312327095, 57.278383514546704], [45.3995914153477, 56.96590853444427], [45.210900217780335, 51.22940766163731], [40.34975287971328, 51.38640648517441], [40.23405593495991, 51.22148978502717], [40.15692463845767, 50.95350014728788], [40.11835899020654, 50.6442813345118], [40.11064586055632, 50.35567710925412], [40.24948219426036, 50.2732187591805], [40.365179139013726, 50.15983852782926], [41.32160721564156, 49.984614533922816], [45.22924966584444, 49.82973471532811], [45.44189940014275, 48.07735046904664], [50.616376268068414, 47.74581831434474], [50.687259512834515, 47.035392268554965], [51.28976709334641, 46.372327959151164], [61.35064015979506, 46.06410260489727], [61.80531906602333, 46.30714320009698], [62.33274659724811, 46.793224390496405], [62.71467687847986, 47.66817053321537], [63.023858534715075, 48.834765390173985], [63.38760165969769, 50.31731302089222], [63.514911753441595, 51.72694847305055], [63.64222184718551, 53.185192044248815], [63.64823475072354, 54.57370290438975], [63.618944153712754, 56.06109627849508], [63.47249116865883, 57.313638067215365], [63.267456989583316, 58.40961213234561], [63.0624228105078, 59.38816040478332], [62.89838147046112, 60.0353132304016], [62.7617386736983, 60.473553221745924], [62.62509587693549, 60.72919321669679], [62.39280312243871, 60.984833211647654], [62.03753185085539, 61.25873320623787], [61.69592485894836, 61.42307320299199], [61.16301795157339, 61.45959320227068], [51.355204522638665, 61.59834065311952], [50.82105540802038, 60.901140666889866], [50.82522304897963, 60.54143304454512], [45.57116585853066, 60.53492088153837], [45.32307450184931, 59.576348130683485]], ""polygonlabels"": [""objeto""], ""original_width"": 1152, ""original_height"": 862}]",phgcarv@gmail.com,91
20210502_212804_gray2.jpg,82,"[{""points"": [[45.83313385365021, 63.94628896789242], [45.742198072404555, 61.686011432535096], [40.777104416391936, 61.637403313495156], [40.56120373628215, 61.43238578580892], [40.45854198063767, 61.18544364192594], [40.48934050733101, 60.77387340212097], [40.5920022629755, 60.56808828221848], [40.71519636974889, 60.43089820228351], [45.704557694071006, 60.3485841543225], [45.73432095384716, 54.662663610298495], [40.8764040450562, 54.62309205181939], [40.713569658366495, 54.42469147899756], [40.64652020502368, 54.16869073987261], [40.63694171168898, 53.75908955727271], [40.71835890503383, 53.496688799669634], [40.92429651172963, 53.27268815293531], [45.76576967957433, 53.16593743230578], [45.87228094143174, 51.06650659325758], [59.07333710320338, 51.123179238898956], [59.36222354728027, 53.220232921099765], [59.40777405176518, 62.267527050106914], [59.18350011414583, 64.06904480298995]], ""polygonlabels"": [""objeto""], ""original_width"": 1152, ""original_height"": 862}]",phgcarv@gmail.com,90
